date P ETpot Qrain_Nwp Qrain_Pbh Qdrain_Nwp Qdrain_Pbh GWL_Nwp GWL_P GWL_Bh
1973011018  0.000 0.000  0.000  0.000 0.061 0.070 499 460 518
1973011021  0.000 0.000  0.000  0.000 0.061 0.069 499 460 518
1973011100  0.000 0.000  0.000  0.000 0.061 0.070 499 460 518
1973011103  0.000 0.000  0.000  0.000 0.061 0.070 499 460 518
1973011106  0.000 0.002  0.000  0.000 0.060 0.070 499 460 518
1973011109  0.000 0.047  0.000  0.000 0.060 0.069 499 460 518
1973011112  0.000 0.049  0.000  0.000 0.060 0.070 499 461 518
1973011115  0.000 0.002  0.000  0.000 0.060 0.070 499 461 518
1973011118  0.000 0.000  0.000  0.000 0.060 0.069 499 461 518
1973011121  0.000 0.000  0.000  0.000 0.060 0.069 499 461 518
1973011200  0.000 0.000  0.000  0.000 0.059 0.070 499 461 518
1973011203  0.000 0.000  0.000  0.000 0.059 0.071 499 461 518
1973011206  0.000 0.003  0.000  0.000 0.059 0.070 499 461 518
1973011209  0.000 0.044  0.000  0.000 0.059 0.067 499 461 518
1973011212  0.000 0.051  0.000  0.000 0.059 0.067 499 461 518
1973011215  0.000 0.002  0.000  0.000 0.059 0.068 499 461 518
1973011218  0.000 0.000  0.000  0.000 0.059 0.067 499 461 518
1973011221  0.000 0.000  0.000  0.000 0.059 0.067 499 461 518
1973011300  0.000 0.000  0.000  0.000 0.059 0.068 499 461 518
1973011303  0.000 0.000  0.000  0.000 0.059 0.069 499 461 518
1973011306  0.000 0.020  0.000  0.000 0.059 0.069 499 461 518
1973011309  0.000 0.274  0.000  0.000 0.059 0.068 499 461 518
1973011312  0.000 0.199  0.000  0.000 0.059 0.068 500 461 518
1973011315  0.000 0.007  0.000  0.000 0.059 0.069 500 461 518
1973011318  0.000 0.000  0.000  0.000 0.059 0.069 500 461 518
1973011321  0.000 0.000  0.000  0.000 0.059 0.069 500 461 518
1973011400  0.000 0.000  0.000  0.000 0.059 0.069 500 461 518
1973011403  0.000 0.000  0.000  0.000 0.059 0.068 500 461 518
1973011406  0.000 0.006  0.000  0.000 0.059 0.068 500 461 518
1973011409  0.000 0.172  0.000  0.000 0.058 0.068 500 461 518
1973011412  0.000 0.116  0.000  0.000 0.058 0.068 500 461 518
1973011415  0.000 0.005  0.000  0.000 0.057 0.069 500 461 518
1973011418  0.000 0.000  0.000  0.000 0.057 0.069 500 461 518
1973011421  0.409 0.000  0.000  0.000 0.058 0.068 500 461 518
1973011500  0.000 0.000  0.000  0.000 0.058 0.068 500 461 518
1973011503  0.203 0.000  0.000  0.000 0.058 0.069 500 460 518
1973011506  0.096 0.004  0.000  0.000 0.059 0.069 500 460 518
1973011509  0.106 0.145  0.000  0.000 0.059 0.068 500 460 518
1973011512  0.000 0.237  0.000  0.000 0.059 0.069 500 460 518
1973011515  0.000 0.014  0.000  0.000 0.059 0.068 500 460 518
1973011518  0.000 0.000  0.000  0.000 0.059 0.068 500 460 518
1973011521  0.000 0.000  0.000  0.000 0.059 0.068 500 460 518
1973011600  0.000 0.000  0.000  0.000 0.059 0.068 500 460 518
1973011603  0.000 0.000  0.000  0.000 0.058 0.068 500 460 518
1973011606  0.000 0.009  0.000  0.000 0.058 0.068 500 460 518
1973011609  0.000 0.111  0.000  0.000 0.058 0.067 500 460 518
1973011612  0.000 0.078  0.000  0.000 0.058 0.066 500 461 518
1973011615  0.000 0.003  0.000  0.000 0.057 0.065 500 461 518
1973011618  0.000 0.000  0.000  0.000 0.057 0.065 500 461 518
1973011621  0.000 0.000  0.000  0.000 0.057 0.065 500 461 518
1973011700  0.000 0.000  0.000  0.000 0.057 0.066 500 461 518
1973011703  0.000 0.000  0.000  0.000 0.057 0.066 500 461 518
1973011706  0.000 0.005  0.000  0.000 0.057 0.065 500 461 518
1973011709  0.000 0.100  0.000  0.000 0.056 0.064 500 461 518
1973011712  0.000 0.092  0.000  0.000 0.055 0.064 500 461 518
1973011715  0.000 0.002  0.000  0.000 0.055 0.064 500 461 518
1973011718  0.000 0.000  0.000  0.000 0.055 0.064 500 461 518
1973011721  0.000 0.000  0.000  0.000 0.055 0.064 500 461 518
1973011800  0.000 0.000  0.000  0.000 0.055 0.065 500 462 518
1973011803  0.000 0.000  0.000  0.000 0.054 0.065 501 462 518
1973011806  0.000 0.004  0.000  0.000 0.054 0.064 501 462 519
1973011809  0.000 0.047  0.000  0.000 0.054 0.064 501 462 519
1973011812  0.000 0.140  0.000  0.000 0.053 0.063 501 462 519
1973011815  0.000 0.011  0.000  0.000 0.053 0.063 501 462 519
1973011818  0.000 0.000  0.000  0.000 0.053 0.063 501 462 519
1973011821  0.000 0.000  0.000  0.000 0.053 0.064 501 462 519
1973011900  0.000 0.000  0.000  0.000 0.053 0.064 501 462 519
1973011903  0.000 0.000  0.000  0.000 0.053 0.064 502 463 519
1973011906  0.000 0.012  0.000  0.000 0.053 0.064 502 463 519
1973011909  0.000 0.087  0.000  0.000 0.053 0.063 502 463 519
1973011912  0.000 0.097  0.000  0.000 0.053 0.062 502 462 519
1973011915  0.000 0.004  0.000  0.000 0.053 0.063 502 462 519
1973011918  0.000 0.000  0.000  0.000 0.053 0.063 502 462 519
1973011921  0.000 0.000  0.000  0.000 0.053 0.063 502 463 519
1973012000  0.000 0.000  0.000  0.000 0.053 0.064 502 463 519
1973012003  0.000 0.000  0.000  0.000 0.053 0.065 502 462 519
1973012006  0.000 0.003  0.000  0.000 0.053 0.065 502 462 519
1973012009  0.000 0.051  0.000  0.000 0.053 0.064 502 462 519
1973012012  0.000 0.044  0.000  0.000 0.054 0.064 502 462 519
1973012015  0.119 0.002  0.000  0.006 0.054 0.064 502 462 518
1973012018  1.359 0.000  0.000  0.247 0.054 0.064 502 462 518
1973012021  0.141 0.000  0.000  0.245 0.054 0.065 502 462 518
1973012100  0.000 0.000  0.000  0.043 0.054 0.065 502 462 518
1973012103  0.311 0.000  0.000  0.000 0.054 0.064 502 462 518
1973012106  1.519 0.003  0.000  0.611 0.053 0.063 502 462 519
1973012109  0.072 0.097  0.000  0.000 0.053 0.063 502 462 519
1973012112  0.072 0.091  0.000  0.000 0.054 0.063 502 462 519
1973012115  0.023 0.008  0.000  0.000 0.054 0.063 501 462 519
1973012118  0.000 0.000  0.000  0.000 0.054 0.063 501 462 519
1973012121  0.000 0.000  0.000  0.000 0.054 0.062 501 462 519
1973012200  0.000 0.000  0.000  0.000 0.054 0.062 501 463 519
1973012203  0.000 0.000  0.000  0.000 0.054 0.061 501 463 519
1973012206  0.010 0.008  0.000  0.000 0.054 0.060 501 463 519
1973012209  0.490 0.061  0.000  0.000 0.054 0.060 501 463 519
1973012212  0.151 0.110  0.000  0.000 0.053 0.059 501 463 519
1973012215  0.060 0.020  0.000  0.000 0.053 0.059 501 463 519
1973012218  0.000 0.000  0.000  0.000 0.054 0.058 501 463 519
1973012221  0.000 0.000  0.000  0.000 0.054 0.059 501 464 519
1973012300  0.000 0.000  0.000  0.000 0.054 0.059 501 464 519
1973012303  0.000 0.000  0.000  0.000 0.055 0.060 501 464 519
1973012306  0.000 0.009  0.000  0.000 0.055 0.060 501 464 519
1973012309  0.000 0.052  0.000  0.000 0.055 0.058 501 464 519
