"","Time","P"
"73884",2011-09-14 12:55:00,0.00833333333333333
"73885",2011-09-14 13:00:00,0
"73886",2011-09-14 13:05:00,0
"73887",2011-09-14 13:10:00,0.925
"73888",2011-09-14 13:15:00,1.06666666666667
"73889",2011-09-14 13:20:00,0.108333333333333
"73890",2011-09-14 13:25:00,0.441666666666667
"73891",2011-09-14 13:30:00,0.241666666666667
"73892",2011-09-14 13:35:00,0.225
"73893",2011-09-14 13:40:00,0.0333333333333333
"73894",2011-09-14 13:45:00,0
"73895",2011-09-14 13:50:00,0
"73896",2011-09-14 13:55:00,0
"73897",2011-09-14 14:00:00,0
"73898",2011-09-14 14:05:00,0
"73899",2011-09-14 14:10:00,0
"73900",2011-09-14 14:15:00,0
"73901",2011-09-14 14:20:00,0
"73902",2011-09-14 14:25:00,0
"73903",2011-09-14 14:30:00,0
"73904",2011-09-14 14:35:00,0
"73905",2011-09-14 14:40:00,0
"73906",2011-09-14 14:45:00,0
"73907",2011-09-14 14:50:00,0
"73908",2011-09-14 14:55:00,0
"73909",2011-09-14 15:00:00,0
"73910",2011-09-14 15:05:00,0
"73911",2011-09-14 15:10:00,0
"73912",2011-09-14 15:15:00,0
