"","Time","P"
"99281",2011-12-11 17:20:00,0.0166666666666667
"99282",2011-12-11 17:25:00,0.0416666666666667
"99283",2011-12-11 17:30:00,0.0166666666666667
"99284",2011-12-11 17:35:00,0
"99285",2011-12-11 17:40:00,0
"99286",2011-12-11 17:45:00,0.0583333333333333
"99287",2011-12-11 17:50:00,0.208333333333333
"99288",2011-12-11 17:55:00,0.208333333333333
"99289",2011-12-11 18:00:00,0.1
"99290",2011-12-11 18:05:00,0.516666666666667
"99291",2011-12-11 18:10:00,1.13333333333333
"99292",2011-12-11 18:15:00,0.675
"99293",2011-12-11 18:20:00,0.116666666666667
"99294",2011-12-11 18:25:00,0.0666666666666667
"99295",2011-12-11 18:30:00,0.0416666666666667
"99296",2011-12-11 18:35:00,0.025
"99297",2011-12-11 18:40:00,0.025
"99298",2011-12-11 18:45:00,0.0416666666666667
"99299",2011-12-11 18:50:00,0
"99300",2011-12-11 18:55:00,0.0416666666666667
"99301",2011-12-11 19:00:00,0.0666666666666667
"99302",2011-12-11 19:05:00,0.65
"99303",2011-12-11 19:10:00,0.525
"99304",2011-12-11 19:15:00,0.15
"99305",2011-12-11 19:20:00,0
"99306",2011-12-11 19:25:00,0
"99307",2011-12-11 19:30:00,0
"99308",2011-12-11 19:35:00,0
"99309",2011-12-11 19:40:00,0
"99310",2011-12-11 19:45:00,0
"99311",2011-12-11 19:50:00,0
"99312",2011-12-11 19:55:00,0
"99313",2011-12-11 20:00:00,0
"99314",2011-12-11 20:05:00,0
"99315",2011-12-11 20:10:00,0
"99316",2011-12-11 20:15:00,0
"99317",2011-12-11 20:20:00,0
"99318",2011-12-11 20:25:00,0
"99319",2011-12-11 20:30:00,0
"99320",2011-12-11 20:35:00,0
"99321",2011-12-11 20:40:00,0
"99322",2011-12-11 20:45:00,0
"99323",2011-12-11 20:50:00,0
